NAME,BEGIN,END,KWH_PERIOD
0356KO,01/10/2020,31/10/2020,2 335
0356KO,01/11/2020,30/11/2020,2 251
0356KO,01/12/2020,31/12/2020,2 323
0356KO,01/01/2021,31/01/2021,2 399
0356KO,01/02/2021,28/02/2021,2 180
0356KO,01/03/2021,31/03/2021,2 361
0356KO,01/04/2021,30/04/2021,2 238
0356KO,01/05/2021,31/05/2021,2 313
0356KO,01/06/2021,30/06/2021,2 336
0356KO,01/07/2021,31/07/2021,2 462
0356KO,01/08/2021,31/08/2021,2 405
0356KO,01/09/2021,30/09/2021,2 274
0356KO,01/10/2021,31/10/2021,2 318
0356KO,01/11/2021,30/11/2021,2 206
0357KO,01/01/2019,31/01/2019,877
0357KO,01/02/2019,28/02/2019,818
0357KO,01/03/2019,31/03/2019,921
0357KO,01/04/2019,30/04/2019,874
0357KO,01/05/2019,31/05/2019,853
0357KO,01/06/2019,30/06/2019,868
0357KO,01/07/2019,31/07/2019,960
0357KO,01/08/2019,31/08/2019,846
0357KO,01/09/2019,30/09/2019,827
0357KO,01/10/2019,31/10/2019,1 068
0357KO,01/11/2019,30/11/2019,1 024
0357KO,01/12/2019,31/12/2019,1 039
0357KO,01/01/2020,31/01/2020,1 037
0357KO,01/02/2020,29/02/2020,971
0357KO,01/03/2020,31/03/2020,1 057
0357KO,01/04/2020,30/04/2020,1 007
0357KO,01/05/2020,31/05/2020,1 038
0357KO,01/06/2020,30/06/2020,1 008
0357KO,01/07/2020,31/07/2020,901
0357KO,01/08/2020,31/08/2020,985
0357KO,01/09/2020,30/09/2020,947
0357KO,01/10/2020,31/10/2020,1 007
0357KO,01/11/2020,30/11/2020,982
0357KO,01/12/2020,31/12/2020,1 034
0357KO,01/01/2021,31/01/2021,1 035
0357KO,01/02/2021,28/02/2021,955
0357KO,01/03/2021,31/03/2021,1 056
0357KO,01/04/2021,30/04/2021,1 005
0357KO,01/05/2021,31/05/2021,992
0357KO,01/06/2021,30/06/2021,980
0357KO,01/07/2021,31/07/2021,865
0357KO,01/08/2021,31/08/2021,899
0357KO,01/09/2021,30/09/2021,883
0357KO,01/10/2021,31/10/2021,922
0357KO,01/11/2021,30/11/2021,833
0414BB,01/01/2019,31/01/2019,762
0414BB,01/02/2019,28/02/2019,693
0414BB,01/03/2019,31/03/2019,784
0414BB,01/04/2019,30/04/2019,752
0414BB,01/05/2019,31/05/2019,780
0414BB,01/06/2019,30/06/2019,808
0414BB,01/07/2019,31/07/2019,824
0414BB,01/08/2019,31/08/2019,841
0414BB,01/09/2019,30/09/2019,771
0414BB,01/10/2019,31/10/2019,786
0414BB,01/11/2019,30/11/2019,753
0414BB,01/12/2019,31/12/2019,770
0414BB,01/01/2020,31/01/2020,766
0414BB,01/02/2020,29/02/2020,721
0414BB,01/03/2020,31/03/2020,776
0414BB,01/04/2020,30/04/2020,762
0414BB,01/05/2020,31/05/2020,790
0414BB,01/06/2020,30/06/2020,845
0414BB,01/07/2020,31/07/2020,904
0414BB,01/08/2020,31/08/2020,920
0414BB,01/09/2020,30/09/2020,853
0414BB,01/10/2020,31/10/2020,864
0414BB,01/11/2020,30/11/2020,830
0414BB,01/12/2020,31/12/2020,858
0414BB,01/01/2021,31/01/2021,854
0414BB,01/02/2021,28/02/2021,772
0414BB,01/03/2021,31/03/2021,861
0414BB,01/04/2021,30/04/2021,818
0414BB,01/05/2021,31/05/2021,827
0414BB,01/06/2021,30/06/2021,830
0414BB,01/07/2021,31/07/2021,668
0414BB,01/08/2021,31/08/2021,842
0414BB,01/09/2021,30/09/2021,800
0414BB,01/10/2021,31/10/2021,817
0414BB,01/11/2021,30/11/2021,788
0480BR,01/01/2019,31/01/2019,2 366
0480BR,01/02/2019,28/02/2019,2 143
0480BR,01/03/2019,31/03/2019,1 813
0480BR,01/04/2019,30/04/2019,1 646
0480BR,01/05/2019,31/05/2019,1 702
0480BR,01/06/2019,30/06/2019,1 821
